nuc,name,category_name,category_code,total
AAS,Australian Academy of Science. Basser Library.,"Images, Maps & Artefacts",image,0
AAS,Australian Academy of Science. Basser Library.,Magazines & Newsletters,magazine,0
AAS,Australian Academy of Science. Basser Library.,"Music, Audio & Video",music,0
AAS,Australian Academy of Science. Basser Library.,Research & Reports,research,0
AAS:FA,Australian Academy of Science. Fenner Archives.,Books & Libraries,book,3
AAS:FA,Australian Academy of Science. Fenner Archives.,"Diaries, Letters & Archives",diary,20028
AAS:FA,Australian Academy of Science. Fenner Archives.,"Images, Maps & Artefacts",image,0
AAS:FA,Australian Academy of Science. Fenner Archives.,Magazines & Newsletters,magazine,0
AAS:FA,Australian Academy of Science. Fenner Archives.,"Music, Audio & Video",music,0
AAS:FA,Australian Academy of Science. Fenner Archives.,Research & Reports,research,0
,Australian and New Zealand College of Anaesthetists.,Books & Libraries,book,0
